mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
E02A6A52XPvAibaEXe/cEeFLbzGe/hwNl8VDkNKQ,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2,2,ENGBT
CC2D217FXPvAibaEXe/cEeFLbzGe/s5QKClAH5xl,1997.0,1.0,-1.0,11.0,MMTT0001,KSTN,0,THPT,Khu vực 3,2,ENG01
591013DCXPvAibaEXe/cEeFLbzGe/gkWD3xIWG3s,1997.0,1.0,-1.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,3,ENGBT
E0A5856FXPvAibaEXe/cEeFLbzGe/jly/D0Mp+/C,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1,2,ENG01
8F752AF5XPvAibaEXe9wQ8rkPICemKkORLm0t6hF,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2 NT,2,ENG01
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2,3,ENG02
3C342700XPvAibaEXe9wQ8rkPICemKUxomFBsH4h,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,1,THPT,Khu vực 2,1,ENGBT
972819C7XPvAibaEXe9wQ8rkPICemPv3jFt4txx0,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 3,2,ENG01
1E266AAFXPvAibaEXe/waquVAMA8TkogJ5efuX2t,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THCS&THPT,Khu vực 3,3,ENG01
DB96172AXPvAibaEXe/waquVAMA8TuDef+6Fb/pR,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 2,4,ENG01
20D7E56CXPvAibaEXe/waquVAMA8TuGBUB8n1U9w,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,2,ENG01
4813A23DXPvAibaEXe/waquVAMA8TuWB0ajB6F8a,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
3A8DC76BXPvAibaEXe/waquVAMA8Tk6+UT/Qyju7,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
CF6241C1XPvAibaEXe/waquVAMA8Too/KBELswxp,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
A0E31B91XPvAibaEXe9IFJLLU9DVVaKpbxrx9JEi,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,2,ENG01
649B938BXPvAibaEXe9IFJLLU9DVVZoHDwmaCg4s,1997.0,1.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
7806D9BAXPvAibaEXe9IFJLLU9DVVQ7bFL8KvJIW,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
DFD72534XPvAibaEXe9IFJLLU9DVVYdOLF1fPLe6,1998.0,1.0,0.0,11.0,MMTT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
841DAEEEXPvAibaEXe9IFJLLU9DVVSo/AjzcgSIW,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1,2,ENG01
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,1,THPT,Khu vực 2,1,ENG01
70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,1998.0,1.0,0.0,11.0,MMTT2016,CQUI,0,THPT,Khu vực 2,3,ENGBT
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 2 NT,4,ENGBT
CC81CA80XPvAibaEXe9OORQ1xsw6nmPmbrn5VcAQ,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 3,3,ENG01
95812940XPvAibaEXe9OORQ1xsw6noRj8oxMKORS,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1,2,ENGBT
D4C6B151XPvAibaEXe9OORQ1xsw6njzMKsUwYGIs,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2,2,ENGBT
CACBD22AXPvAibaEXe/agc6/owW5CA2VUR30Kxql,1998.0,1.0,0.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 3,4,ENG01
