id,mssv,listening,reading,total,mamh,ghichu
261,95812940XPvAibaEXe9OORQ1xsw6noRj8oxMKORS,,,23.0,AVSC,
262,353291D0XPvAibaEXe+u8DuxWGTFfOeTkx29Aj4l,,,23.0,AVSC,
263,178F60F5XPvAibaEXe9WgQQLl7rkk9xNzvD5m8xA,,,23.0,AVSC,
264,7E5F0261XPvAibaEXe9x7FcJ6vxIP/wyKPNs2niT,,,23.0,AVSC,
265,B2366359XPvAibaEXe8lzySxhHiT0abgjQcayJU6,,,23.0,AVSC,
267,B76C034CXPvAibaEXe+7P4TS0/ikVaiShJPRi8D8,,,23.0,AVSC,
268,EC385B25XPvAibaEXe+zrGHfAUSFaSWfOcnuwhIE,,,23.0,AVSC,
269,3A751C91XPvAibaEXe876wt31yGPP4jtOTSRHqgW,,,23.0,AVSC,
270,00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,,,23.0,AVSC,
271,89B9E37AXPvAibaEXe9x7FcJ6vxIP8ZfUeeTsqYu,,,23.0,AVSC,
272,BED5368DXPvAibaEXe+YFpGAAgvteWQNcBQnhVHj,,,23.0,AVSC,
273,829A6930XPvAibaEXe9wxm0WjsXoKvogSZjqOrmh,,,23.0,AVSC,
274,C85CAC55XPvAibaEXe8eWl5Nr7OWQnSDhPbn24Ji,,,23.0,AVSC,
276,7F122563XPvAibaEXe9W7fV/x7qyQJdcv/a2vx7K,,,23.0,AVSC,
277,3F6464F9XPvAibaEXe8pd25OrRS+bfhEJhQJNXId,,,23.0,AVSC,
278,2FF04FA8XPvAibaEXe/5h0vZw0NHLz1icbUz+Z9r,,,23.0,AVSC,
279,CB7E27DCXPvAibaEXe/A+LHGtXv8vy+900/G7xXc,,,23.0,AVSC,
280,0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,,,23.0,AVSC,
281,28768CA3XPvAibaEXe+cv7qSCYkQeoJYs7nj4X0r,,,23.0,AVSC,
283,DDFF2AD9XPvAibaEXe8enouoh243g2IBmz3/wha9,,,23.0,AVSC,
284,5CAF9119XPvAibaEXe/v5x/h23myCUblzOUm2Q4v,,,23.0,AVSC,
285,6FF0201BXPvAibaEXe8CSUzma4ok0qaqULSZihQx,,,23.0,AVSC,
286,A7D8F9DEXPvAibaEXe+wVOsoF63SsE1LV6Mh7FQg,,,23.0,AVSC,
287,01B52BE5XPvAibaEXe9eYPx3anXXhOEtGOeWYZrn,,,23.0,AVSC,
288,70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,,,23.0,AVSC,
289,581CB126XPvAibaEXe80NXGyYVtTlryDrVC3sRaI,,,24.0,AVSC,
290,82CCF118XPvAibaEXe/ns/wSuHF6kJuTovSjvh3N,,,24.0,AVSC,
291,8B9DD5F1XPvAibaEXe/7VXm0xgXldIyNDzaf66fA,,,24.0,AVSC,
292,593E7147XPvAibaEXe/S4a8qPv8Nb8Apfpl8/Rme,,,24.0,AVSC,
293,2F9BDB24XPvAibaEXe9n6M+kQhqu8vtdZtAucjId,,,24.0,AVSC,
294,17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,,,24.0,AVSC,
295,4BB3341BXPvAibaEXe87qJpUsO6V7TeFLjbYGDFN,,,24.0,AVSC,
296,F96F26BDXPvAibaEXe/7jtQOMcuJ+4eFmj09T6qD,,,24.0,AVSC,
297,FC108F04XPvAibaEXe+zrGHfAUSFaZD0KqTHsnj4,,,24.0,AVSC,
298,A330757EXPvAibaEXe9n6M+kQhqu8gO1FzoyH/Rl,,,24.0,AVSC,
299,A56A2ECBXPvAibaEXe9xkK/YA3rY8PRNWpizshot,,,24.0,AVSC,
300,BC23DA17XPvAibaEXe+GHNK19bpqCyPAUx4pm9RJ,,,24.0,AVSC,
301,382BCEACXPvAibaEXe8zjuWfAVBr9cQalpl5Q/IX,,,24.0,AVSC,
302,B743988CXPvAibaEXe/BLy1WUS+NVq+8RKQE3fi+,,,24.0,AVSC,
303,95EE3811XPvAibaEXe+7uLWSh9XvQvm5ZErnhLRZ,,,24.0,AVSC,
304,F6A9AF8AXPvAibaEXe+oAybUv81bbuqcqHiKgk2n,,,24.0,AVSC,
305,CB17F8F5XPvAibaEXe+3sZoWnetaj3mUhX0PKRMe,,,24.0,AVSC,
306,57A9555DXPvAibaEXe9kJ+qYUUrp6yzqg8iX3syd,,,24.0,AVSC,
307,6DD33907XPvAibaEXe/JhqMYLzzrR/SD+X56lNlB,,,24.0,AVSC,
308,33065DEFXPvAibaEXe/WTR5UGsYutCOajmigVrAj,,,24.0,AVSC,
309,29C85D60XPvAibaEXe8qBtIUs9INC/pF8ftvBlnc,,,24.0,AVSC,
312,8D5EBFAEXPvAibaEXe8CN9MRovh0mIE2dQw/E+BK,,,24.0,AVSC,
