id,mssv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7703,FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7704,8405AB7AXPvAibaEXe8CSUzma4ok0sCCokPnZj1+,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7705,387E2EFEXPvAibaEXe96K1aB3B4cKSj8mKKciukN,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7706,342257EAXPvAibaEXe/aqMXYDLKHR3SjNQBzsJDf,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7716,B4DF0E0BXPvAibaEXe9lF2o7VejWNjZnP3XERPYN,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7717,C1BB7059XPvAibaEXe8ydgsBCmjqA7/XEotXcjT3,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7718,E670C383XPvAibaEXe/zHDidEgqCTiLQarAqK+wV,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7719,FCF45D05XPvAibaEXe+PhKfQb0+XJ1k496G8BNe/,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7720,D5AC7162XPvAibaEXe/caEx4rNa5qUnjFyjC1j1t,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7721,9DE3AA6DXPvAibaEXe+NmgQbVGcjJ/cDB85eYXzc,2.0,Bị cảnh cáo vì ĐTB 2 học kỳ liên tiếp < 4,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7722,387D399AXPvAibaEXe/S5mChdnrLm+CxikMaVKbO,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7723,91090A58XPvAibaEXe/twRH8x8eyg72wDhVxBSqI,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7724,34D2366BXPvAibaEXe9hSzSdeSAT0raoFevApL9Y,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7725,8A09D1DFXPvAibaEXe/KMtCr6bHausp9EaTq9IQh,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7726,AD4F8F98XPvAibaEXe+Wjq/eoSKNhWAfdL7IH9lt,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7727,D1D177EAXPvAibaEXe8dEe4TA8wgHwsqNRzsv5E9,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7728,FDA9DEA1XPvAibaEXe+TQJLvJOj4Bbq7Gu36vTA9,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
